,image,text
0,image/0.jpg,A man with a red helmet on a small moped on a dirt road. 
1,image/0.jpg,Man riding a motor bike on a dirt road on the countryside.
2,image/0.jpg,A man riding on the back of a motorcycle.
3,image/0.jpg,A dirt path with a young person on a motor bike rests to the foreground of a verdant area with a bridge and a background of cloud-wreathed mountains. 
4,image/0.jpg,A man in a red shirt and a red hat is on a motorcycle on a hill side.
5,image/1.jpg,A young girl inhales with the intent of blowing out a candle. 
6,image/1.jpg,A young girl is preparing to blow out her candle.
7,image/1.jpg,A kid is to blow out the single candle in a bowl of birthday goodness. 
8,image/1.jpg,Girl blowing out the candle on an ice-cream 
9,image/1.jpg,A little girl is getting ready to blow out a candle on a small dessert.
10,image/2.jpg,A man on a bicycle riding next to a train
11,image/2.jpg,A person is riding a bicycle but there is a train in the background.
12,image/2.jpg,a red and white train and a man riding a bicycle
13,image/2.jpg,a guy that is riding his bike next to a train
14,image/2.jpg,A man riding a bike past a train traveling along tracks.
15,image/3.jpg,A kitchen is shown with a variety of items on the counters.
16,image/3.jpg,A kitchen has the windows open and plaid curtains.
17,image/3.jpg,A kitchen with two windows and two metal sinks.
18,image/3.jpg,An older kitchen with cluttered counter tops but empty sink.
19,image/3.jpg,Glasses and bottles are placed near a kitchen sink.
20,image/4.jpg,A wooden ball on top of a wooden stick.
21,image/4.jpg,The table is full of wooden spoons and utensils.
22,image/4.jpg,A wood table holding an assortment of wood cooking utensils.
23,image/4.jpg,A selection of wooden kitchen tools on a counter.
24,image/4.jpg,Wooden spoons are lined up on a table
25,image/5.jpg,Multiple wooden spoons are shown on a table top.
26,image/5.jpg,A table surrounded by chairs and filled with cooking utensils.
27,image/5.jpg,Wooden spoons laid out across a kitchen table.
28,image/5.jpg,Wooden spoons and forks are all over a table.
29,image/5.jpg,A table and chairs with wooden kitchen tools on top.
30,image/6.jpg,A bathroom that has a broken wall in the shower.
31,image/6.jpg,A bathroom looks clean but is missing tile at the shower stall.
32,image/6.jpg,A view of a bathroom that needs to be fixed up.
33,image/6.jpg,a shower toilet and sink in a basement bathroom
34,image/6.jpg,A very big whit rest room with a shabby looking shower.
35,image/7.jpg,A bathroom with an enclosed shower next to a sink and a toilet.
36,image/7.jpg,"A clean, spacious bathroom with a large shower stall."
37,image/7.jpg,"There are a toilet, a sink, and a shower stall in a large bathroom."
38,image/7.jpg,"A bathroom featuring a walk in shower, mirror, sink and toilet."
39,image/7.jpg,"Bathroom with a shower, sink, and toilet in it. "
40,image/8.jpg,people on bicycles ride down a busy street 
41,image/8.jpg,A group of people are riding bikes down the street in a bike lane
42,image/8.jpg,bike riders passing Burger King in city street
43,image/8.jpg,A group of bicyclists are riding in the bike lane.
44,image/8.jpg,"Bicyclists on a city street, most not using the bike lane"
45,image/9.jpg,The bathroom is clean and ready to be used. 
46,image/9.jpg,a small bathroom with a sink and a toilet.
47,image/9.jpg,"A toilet, sink and mirror in the bathroom"
48,image/9.jpg,Doorway view into bathroom with a sink and toilet.
49,image/9.jpg,A white toilet sitting next to a sink.
50,image/10.jpg,A clean bathroom is seen in this image.
51,image/10.jpg,A bathroom with a white toilet and large shelf full of stuff.
52,image/10.jpg,"some shelves filled with a bunch of different items in the bathroom
"
53,image/10.jpg,A shelving unit is between a toilet and a bathroom sink. 
54,image/10.jpg,"A shelf with hygiene products in a bathroom.
"
55,image/11.jpg,A young man wearing black attire and a flowered tie is standing and smiling.
56,image/11.jpg,A man with glasses and his eyes closed dressed in a black shirt and a necktie.
57,image/11.jpg,A man in a green tie with his eyes closed.
58,image/11.jpg,Smiling man wearing black shirt and pale green tie.
59,image/11.jpg,A person that is dressed up very nicely.
60,image/12.jpg,Black and white photograph of two men on motorcycles.
61,image/12.jpg,Two people riding a motorcycle with hats and backpack down a street.
